"%s was successfully added to your shopping cart.","%s وقد نجحت في اضافة إلى سلة التسوق الخاصة بك."
"Email Address","البريد الإلكتروني"
"Enable Terms and�Conditions","Enable Terms and�Conditions"
"Enabled","Enabled"
"Enter a New Address","قم بإدخال عنوانا جديدا"
"Enter your coupon code if you have one.","إذا كنت تملك كوبونا فقم بإدخال الكود."
"Enter your destination to get a shipping estimate.","قم بإدخال وجهتك حتى تحصل على تقدير للشحن."
"Error while deleting this condition. Please try again later.","Error while deleting this condition. Please try again later."
"Error while saving this condition. Please try again later.","Error while saving this condition. Please try again later."
"Estimate Shipping and Tax","تقدير الشحن والضريبة"
"Excl. Tax","Excl. Tax"
"Fast and easy check out","إنهاء شراء سريع وسهل"
"Fax","فاكس"
"Forgot an Item?","هل نسيت سلعة؟"
"Forgot your password?","هل نسيت كلمة المرور؟"
"Get a Quote","احصل على اقتباس"
"Grand Total:","المجموع الكلي:"
"Grouped product image","جمع صور المنتجات"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Tax"
"Invalid data","بيانات غير صحيحة"
"Invalid email address ""%s""","Invalid email address ""%s"""
"Invalid shipping method.","طريقة شحن غير صحيحة."
"Items","السلع"
"Load customer quote error","تحميل خطأ اقتباس العميل"
"Loading next step...","تحميل الخطوة التالية ..."
"Login","تسجيل الدخول"
"Manage Checkout Terms and Conditions","Manage Checkout Terms and Conditions"
"Maximum display Recently added item(s)","Maximum display Recently added item(s)"
"Maximum qty allowed for Shipping to multiple addresses is %s","الكمية القصوى المسموح بها للشحن إلى عدة عناوين هي %s"
"Move to Wishlist","النقل إلى قائمة الأمنيات"
"My Account","حسابي"
"My Cart","My Cart"
"My Cart (%s item)","عربة التسوق خاصتي (%s سلعة)"
"My Cart (%s items)","عربة التسوق خاصتي (%s سلع)"
"My Cart Link","وصلة سلتي"
"New Address","عنوان جديد"
"New Condition","New Condition"
"Order #","Order #"
"Order Review","مراجعة طلب الشراء"
"Order Success","نجاح طلب الشراء"
"Other items in your order","Other items in your order"
"Password","كلمة المرور"
"Payment Failed Email Reciever","Payment Failed Email Reciever"
"Payment Failed Email Sender","Payment Failed Email Sender"
"Payment Failed Emails","Payment Failed Emails"
"Payment Failed Template","Payment Failed Template"
"Payment Information","بيانات الدفع"
"Payment Method","طريقة الدفع"
"Payment method is not defined","طريقة الدفع غير معرفة"
"Place Order","مكان الطلب"
"Please <a href=""%s"">continue shopping</a>.","فضلا <a href=""%s"">اكمل التسوق</a>."
"Please agree to all Terms and Conditions before placing the order.","Please agree to all Terms and Conditions before placing the order."
"Please agree to all Terms and Conditions before placing the orders.","Please agree to all Terms and Conditions before placing the orders."
"Please enter a valid zip code. For example 90602 or 90602-1234.","الرجاء إدخال الرمز البريدي. فعلى سبيل المثال 90602 او 90602-12344."
"Please log in below:","من فضلك قم بتسجيل الدخول بالأسفل:"
"Please select region, state or province","من فضلك قم باختيار المنطقة، الولاية أو المقاطعة"
"Please select shipping address for applicable items","Please select shipping address for applicable items"
"Please select shipping methods for all addresses","من فضلك قم باختيار طرق الشحن لكل العناوين"
"Price","السعر"
"Proceed to Checkout","المواصلة لإنهاء الشراء"
"Product","المنتج"
"Product Name","اسم المنتج"
"Product does not exist","المنتج غير موجود"
"Qty","الكمية"
"Quote Lifetime (days)","اقتبس من العمر (أيام)"
"Recently added item(s)","السلعة/السلع المضافة حديثا"
"Register","التسجيل"
"Register and save time!","قم بالتسجيل ووفر الوقت!"
"Register to Create an Account","قم بالتسجيل لإنشاء حساب"
"Register with us for future convenience:","سجل معنا في المستقبل لراحة:"
"Remove","إزالة"
"Remove Item","إزالة سلعة"
"Remove Product","إزالة منتج"
"Remove item","Remove item"
"Review Order","مراجعة طلب الشراء"
"Review Order - %s","مراجعة طلب الشراء - %s"
"Sales","Sales"
"Save Condition","Save Condition"
"Save in address book","حفظ في دفتر العناوين"
"Select Address","اختيار عنوان"
"Select Addresses","اختيار عناوين"
"Select Shipping Method","اختيار طريقة الشحن"
"Select State/Province...","اختيار الولاية/المقاطعة..."
"Select a billing address from your address book or enter a new address.","اختر عنوان الفاتوره من دفتر العناوين الخاص بك ، او ادخال عنوان جديد."
"Select a shipping address from your address book or enter a new address.","اختر عنوان الشحن من دفتر العناوين الخاص بك ، او ادخال عنوان جديد."
"Send Payment Failed Email Copy Method","Send Payment Failed Email Copy Method"
"Send Payment Failed Email Copy To","Send Payment Failed Email Copy To"
"Send to","إرسال إلى"
"Ship to Multiple Addresses","الشحن إلى عدة عناوين"
"Ship to different address","الشحن إلى عنوان مختلف"
"Ship to this address","الشحن إلى هذا العنوان"
"Shipping Address","عنوان الشحن"
"Shipping Information","بيانات الشحن"
"Shipping Method","طريقة الشحن"
"Shipping Methods","طرق الشحن"
"Shipping method has not been selected yet","لم يتم اختيار طريقة الشحن حتى الآن"
"Shipping selection is not applicable","Shipping selection is not applicable"
"Shipping to","الشحن إلى"
"Shopping Cart","عربة التسوق"
"Shopping Cart Sidebar","Shopping Cart Sidebar"
"Shopping Cart is Empty","عربة التسوق فارغة"
"Show Content as","Show Content as"
"Some of the products you requested are not available in the desired quantity","بعض المنتجات التي طلبتها غير متاحة بالكمية المطلوبة"
"Some of the products you requested are unavailable","بعض المنتجات التي طلبتها غير موجودة"
"Sorry, Onepage Checkout is disabled.","Sorry, Onepage Checkout is disabled."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, guest checkout is not enabled. Please try again or contact store owner."
"Sorry, no quotes are available for this order at this time.","عذرا ، لم يقتبس متوفره لهذا النظام في هذا الوقت.  "
"State/Province","ولاية/مقاطعة"
"Status","Status"
"Store View","Store View"
"Street Address","عنوان الشارع"
"Street Address ","Street Address "
"Submitting order information...","تقديم بيانات طلب الشراء..."
"Subtotal","المجموع الفرعي"
"Telephone","هاتف"
"Terms and Conditions","Terms and Conditions"
"Terms and Conditions Information","Terms and Conditions Information"
"Terms and conditions","Terms and conditions"
"Text","Text"
"Thank you for your purchase!","شكرا لك على الشراء!"
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","هناك <a href=""%s""><strong>%s عناصر</strong></a> في سلتك."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","عناك <a href=""%s""><strong>1 عنصر</strong></a> في سلتك."
"There is already a customer registered using this email address","يوجد بالفعل عميل مسجل بهذا البريد الإلكتروني"
"There was an error processing your order. Please contact us or try again later.","كان هناك خطأ تجهيز طلبك. يرجى الاتصال بنا او المحاوله مرة اخرى فى وقت لاحق."
"This condition no longer exists","This condition no longer exists"
"Total","Total"
"Total for this address","مجموع لهذا العنوان"
"Unit Price","سعر الوحدة"
"Update Qty &amp; Addresses","تحديث الكمية والعناوين"
"Update Shopping Cart","تحديث عربة التسوق"
"Update Total","تحديث الإجمالي"
"Use Billing Address","استخدام عنوان الدفع"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","ونحن على تجهيز طلبك وكنت قريبا مع تلقيت عبر البريد الالكتروني من اجل التفاصيل. مرة واحدة الامر شحنت ستتلقي رسالة الكترونيه اخرى مع وصلة لتتبع التقدم المحرز."
"You have no items in your shopping cart.","لا يوجد لديك أي سلع في عربة التسوق."
"You will receive an order confirmation email with details of your order and a link to track its progress.","سوف تتلقى  رسالة بالبريد الالكتروني لتاكيد طلبك مع تفاصيل لطلبك و وصلة لمتابعة التقدم المحرز ."
"Your Checkout Progress","الخروج من التقدم الخاصة بك"
"Your order # is: %s","طلبك # is: %s"
"Your order # is: <a href=""%s"">%s</a>","Your order # is: <a href=""%s"">%s</a>"
"Your order has been received","تم استلام طلبك"
"Your order number is ","Your order number is "
"Zip/Postal Code","الرمز البريدي"
"osCommerce Orders","osCommerce Orders"
"separate by "",""","separate by "","""
"My Cart","سلتي"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Checkout","Checkout"
"Shopping Cart is Empty","Shopping Cart is Empty"
"Please <a href=""%s"">continue shopping</a>.","Please <a href=""%s"">continue shopping</a>."
"Cart","عربة"
